VoterId,ElectionDate,ElectionDescription,VotingMethod
6576612,11/05/2024,11/05/2024 - STATE GENERAL,P
6506034,11/05/2024,11/05/2024 - STATE GENERAL,A
6578027,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6512634,11/05/2024,11/05/2024 - STATE GENERAL,A
6518985,11/05/2024,11/05/2024 - STATE GENERAL,A
6544862,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
6561108,11/05/2024,11/05/2024 - STATE GENERAL,P
6502252,11/05/2024,11/05/2024 - STATE GENERAL,A
6510901,11/05/2024,11/05/2024 - STATE GENERAL,P
6512736,11/05/2024,11/05/2024 - STATE GENERAL,P
6515253,11/05/2024,11/05/2024 - STATE GENERAL,P
6528781,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
6561856,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
6584226,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,A
6584257,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6501658,11/05/2024,11/05/2024 - STATE GENERAL,P
6506117,11/05/2024,11/05/2024 - STATE GENERAL,P
6550077,11/05/2024,11/05/2024 - STATE GENERAL,P
6526482,11/05/2024,11/05/2024 - STATE GENERAL,A
6558612,11/05/2024,11/05/2024 - STATE GENERAL,P
6501857,11/05/2024,11/05/2024 - STATE GENERAL,A
6539276,11/05/2024,11/05/2024 - STATE GENERAL,A
6559391,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6578004,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6581811,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6535516,11/05/2024,11/05/2024 - STATE GENERAL,P
6528707,11/05/2024,11/05/2024 - STATE GENERAL,A
6578226,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6508190,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6597376,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6526231,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,A
6529105,01/28/2025,01/28/2025 - SPEC ELECT SEN DIST 60,P
6522334,11/05/2024,11/05/2024 - STATE GENERAL,P
6541922,11/05/2024,11/05/2024 - STATE GENERAL,A
6559844,11/05/2024,11/05/2024 - STATE GENERAL,A
6551421,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6577535,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6511189,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6577946,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6506088,11/05/2024,11/05/2024 - STATE GENERAL,P
6581943,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6514753,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,A
6529423,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6551433,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6589985,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6549097,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,A
6557395,11/05/2024,11/05/2024 - STATE GENERAL,A
6581754,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6533517,11/05/2024,11/05/2024 - STATE GENERAL,P
6579881,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,A
6562716,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6577842,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6579658,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,A
6579785,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6580311,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 47 - SAUK RAPIDS-RICE,P
6510250,11/05/2024,11/05/2024 - STATE GENERAL,P
