VoterId,ElectionDate,ElectionDescription,VotingMethod
5055883,11/03/2020,11/03/2020 - STATE GENERAL,A
5006660,11/08/2016,11/08/2016 - STATE GENERAL,P
5061954,11/08/2016,11/08/2016 - STATE GENERAL,A
5088051,11/08/2016,11/08/2016 - STATE GENERAL,P
5061954,11/05/2013,11/05/2013 - SCHOOL DISTRICT GENERAL,P
5061954,11/04/2014,11/04/2014 - STATE GENERAL,P
5061954,11/06/2018,11/06/2018 - STATE GENERAL,A
5088051,08/12/2014,08/12/2014 - STATE PRIMARY,P
5062147,11/08/2016,11/08/2016 - STATE GENERAL,A
5061954,08/14/2018,08/14/2018 - STATE PRIMARY,P
5009910,11/06/2012,11/06/2012 - STATE GENERAL,P
5062147,11/05/2013,11/05/2013 - SD SPEC ELECT ISD 834 - STILLWATER,P
5072112,11/04/2014,11/04/2014 - STATE GENERAL,P
5076439,11/08/2016,11/08/2016 - STATE GENERAL,A
5062147,11/06/2018,11/06/2018 - STATE GENERAL,P
5076439,11/06/2018,11/06/2018 - STATE GENERAL,P
5076439,11/03/2020,11/03/2020 - STATE GENERAL,A
5074583,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
5011155,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
5006660,11/04/2014,11/04/2014 - STATE GENERAL,P
5024041,11/06/2012,11/06/2012 - STATE GENERAL,P
5059127,11/05/2024,11/05/2024 - STATE GENERAL,P
5006660,11/06/2012,11/06/2012 - STATE GENERAL,P
5002066,11/06/2012,11/06/2012 - STATE GENERAL,A
5002066,08/09/2016,08/09/2016 - STATE PRIMARY,P
5002066,11/08/2016,11/08/2016 - STATE GENERAL,P
5002066,03/03/2020,03/03/2020 - PRESIDENTIAL PRIMARY,P
5002066,08/11/2020,08/11/2020 - STATE PRIMARY,P
5002066,11/03/2020,11/03/2020 - STATE GENERAL,P
5052511,11/08/2016,11/08/2016 - STATE GENERAL,A
5019789,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
5085495,11/03/2015,11/03/2015 - SCHOOL DISTRICT GENERAL,P
5085495,08/12/2014,08/12/2014 - STATE PRIMARY,P
5085495,11/04/2014,11/04/2014 - STATE GENERAL,P
5085495,11/08/2016,11/08/2016 - STATE GENERAL,A
