VoterId,ElectionDate,ElectionDescription,VotingMethod
2559347,10/10/2001,PROCTOR SD #704 SPECIAL ELECTION-10/10/2001,P
2559347,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
2559347,03/11/2003,03/11/2003 TOWNSHIP ELECTION,P
2559347,11/04/2008,11/04/2008 - STATE GENERAL,P
2559347,11/02/2004,11/02/2004 - STATE GENERAL,P
2559347,11/08/2005,11/08/2005 - SCHOOL DISTRICT GENERAL,P
2559347,11/07/2000,STATE GENERAL,P
2559347,11/07/2000,MUNICIPAL GENERAL,P
2559347,11/02/1999,MUNICIPAL GENERAL,P
2559347,11/04/1997,MUNICIPAL GENERAL,P
2559347,11/04/1997,SCHOOL BOARD ELECTION,P
2559347,11/05/1996,MUNICIPAL GENERAL,P
2559347,09/13/1994,STATE PRIMARY ELECTION,P
2559347,11/08/1994,STATE GENERAL,P
2559347,11/08/1994,MUNICIPAL GENERAL,P
2559347,11/02/1993,MUNICIPAL GENERAL,P
2559347,11/02/1993,SCHOOL BOARD ELECTION,P
2559347,03/14/2006,03/14/2006 - TOWNSHIP ELECTION,P
2542561,02/11/2025,02/11/2025 - SPEC ELECT RAMSEY CO COM 03,A
2553737,02/11/2025,02/11/2025 - SPEC ELECT RAMSEY CO COM 03,P
2582808,11/04/2008,11/04/2008 - STATE GENERAL,P
2516738,11/02/2004,11/02/2004 - STATE GENERAL,P
2547675,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2541764,11/07/2000,STATE GENERAL,P
2541764,11/02/1999,MUNICIPAL GENERAL,P
2516738,11/07/2000,STATE GENERAL,P
2578396,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2585008,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2587406,11/05/2024,11/05/2024 - STATE GENERAL,P
2532555,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2579100,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2541764,11/03/1998,STATE GENERAL,P
2541764,09/13/1994,STATE PRIMARY ELECTION,P
2546989,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2547641,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2554593,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2513936,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
2586891,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2589189,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2589760,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2513928,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
2525668,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2537165,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2537858,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2587809,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2577700,11/05/1996,STATE GENERAL,P
2522733,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2522734,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2539648,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,A
2585859,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,A
2527179,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
2586730,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
2547558,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,A
2586608,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,A
2561737,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,A
2560928,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,A
2515109,11/05/2024,11/05/2024 - STATE GENERAL,P
2534671,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
2570297,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
2575172,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
2517316,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
2537165,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
2543065,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
2568013,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
2596450,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
2538557,02/11/2025,02/11/2025 - SPEC ELECT RAMSEY CO COM 03,A
2580139,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
