VoterId,ElectionDate,ElectionDescription,VotingMethod
6283273,11/05/2024,11/05/2024 - STATE GENERAL,P
6252450,11/08/2022,11/08/2022 - STATE GENERAL,P
6230244,11/07/2023,11/07/2023 - SPEC ELECT MCD EDINA,A
6296598,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6262960,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6251809,11/07/2023,11/07/2023 - SPEC ELECT MCD EDINA,P
6247132,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6276000,11/05/2024,11/05/2024 - STATE GENERAL,P
6271786,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,A
6224515,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6298031,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6237767,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6288365,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6248070,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6270113,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6262760,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6210780,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6252470,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 721 - NEW PRAGUE AREA,P
6295287,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6295288,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6239629,11/05/2024,11/05/2024 - STATE GENERAL,A
6230667,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6258661,11/08/2022,11/08/2022 - STATE GENERAL,P
6254173,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6260828,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6230602,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6229526,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6260970,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6255450,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6281795,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6262962,11/05/2024,11/05/2024 - STATE GENERAL,P
6255189,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6231744,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6278320,11/05/2024,11/05/2024 - STATE GENERAL,P
6260030,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6217828,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6240742,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6273272,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6224463,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6233354,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6272112,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6278076,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6273321,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6278167,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6263509,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6291562,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6213461,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6253019,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
6272989,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6278101,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6214427,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6294107,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
6298043,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6270425,11/08/2022,11/08/2022 - STATE GENERAL,A
6213121,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6213122,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6271967,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6273309,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6279501,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
6212385,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6240653,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6272114,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6286204,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6282012,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6278550,11/05/2024,11/05/2024 - STATE GENERAL,A
6288145,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6277307,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
6212908,11/08/2022,11/08/2022 - STATE GENERAL,A
6277308,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
6203681,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6217813,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
6265901,11/08/2022,11/08/2022 - STATE GENERAL,P
6206200,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
6246864,11/08/2022,11/08/2022 - STATE GENERAL,P
6213167,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6257027,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6263841,11/08/2022,11/08/2022 - STATE GENERAL,P
6256001,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6292734,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
6252918,11/05/2024,11/05/2024 - STATE GENERAL,P
6254058,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6276563,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6216398,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 279 - OSSEO,P
6206310,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6211790,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6206395,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6296239,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6226884,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 279 - OSSEO,P
6215755,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6218176,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6264662,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,A
6233328,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6276808,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6290010,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6204392,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6276748,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6220414,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6234252,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6297913,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6275233,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6214852,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6236421,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6297188,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
6297331,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6229221,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6264542,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
6226556,11/05/2024,11/05/2024 - STATE GENERAL,P
6267396,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6267820,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6212914,11/05/2024,11/05/2024 - STATE GENERAL,A
6217627,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
6268109,11/08/2022,11/08/2022 - STATE GENERAL,P
6263013,11/05/2024,11/05/2024 - STATE GENERAL,P
6201493,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6218121,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6210793,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6256221,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6243948,11/05/2024,11/05/2024 - STATE GENERAL,P
6255173,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
6222216,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6257950,11/05/2024,11/05/2024 - STATE GENERAL,A
6247932,11/05/2024,11/05/2024 - STATE GENERAL,P
6226789,11/05/2024,11/05/2024 - STATE GENERAL,P
6263939,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6206210,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6212280,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6212285,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6265661,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6255253,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
6216578,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6240456,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
6278201,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
6249813,11/08/2022,11/08/2022 - STATE GENERAL,A
6210979,11/08/2022,11/08/2022 - STATE GENERAL,A
6269672,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
6272989,11/05/2024,11/05/2024 - STATE GENERAL,P
