VoterId,ElectionDate,ElectionDescription,VotingMethod
2064331,11/02/2004,11/02/2004 - STATE GENERAL,P
2064331,11/07/2006,11/07/2006 - STATE GENERAL,P
2077281,11/07/2000,STATE GENERAL,P
2064331,11/07/2000,STATE GENERAL,P
2064331,11/02/1999,MUNICIPAL GENERAL,P
2064331,11/03/1998,STATE GENERAL,P
2064331,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
2077281,11/02/2004,11/02/2004 - STATE GENERAL,P
2095005,11/05/2002,11/05/2002 STATE GENERAL ELECTION,P
2095005,03/03/2020,03/03/2020 - PRESIDENTIAL PRIMARY,P
2095005,11/08/2011,11/08/2011 - SD SPEC ELECT ISD 595 - EAST GRAND FORKS,P
2077281,11/04/2014,11/04/2014 - STATE GENERAL,P
2089049,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
2025698,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
2075187,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
2045254,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
2041562,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
2020042,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
2020715,11/07/2023,11/07/2023 - SCHOOL DISTRICT GENERAL,P
2082115,11/05/2024,11/05/2024 - STATE GENERAL,P
2020728,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
2021844,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
2023650,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
2051467,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,A
2010711,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
2068753,05/14/2024,05/14/2024 - SPEC ELECT HENNEPIN CO COM 06,P
2021148,11/07/2000,STATE GENERAL,P
2021148,11/03/1998,STATE GENERAL,P
2021148,11/05/1996,STATE GENERAL,P
2021148,11/06/2001,2001 SCHOOL ELECTION,P
2021148,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
2021148,11/02/2004,11/02/2004 - STATE GENERAL,P
2021148,09/09/2008,09/09/2008 - STATE PRIMARY,P
2021148,11/04/2008,11/04/2008 - STATE GENERAL,P
2021148,11/06/2012,11/06/2012 - STATE GENERAL,P
