VoterId,ElectionDate,ElectionDescription,VotingMethod
3759336,11/04/2008,11/04/2008 - STATE GENERAL,P
3759336,11/07/2006,11/07/2006 - STATE GENERAL,A
3759336,11/02/2010,11/02/2010 - STATE GENERAL,P
3759336,05/20/2008,05/20/2008 - SD SPEC ELECT ISD 0316 - GREENWAY,A
3760342,11/02/2004,11/02/2004 - STATE GENERAL,P
3760342,11/06/2012,11/06/2012 - STATE GENERAL,P
3759336,11/02/2004,11/02/2004 - STATE GENERAL,P
3759336,02/27/2007,02/27/2007 - SPEC PRI ITASCA CO COM 03,P
3759336,03/27/2007,03/27/2007 - SPEC ELECT ITASCA CO COM 03,P
3714626,11/02/2004,11/02/2004 - STATE GENERAL,P
3742522,11/02/2004,11/02/2004 - STATE GENERAL,P
3759336,11/06/2012,11/06/2012 - STATE GENERAL,P
3759336,11/08/2016,11/08/2016 - STATE GENERAL,A
3742522,11/04/2008,11/04/2008 - STATE GENERAL,P
3746793,11/02/2004,11/02/2004 - STATE GENERAL,P
3759336,11/04/2014,11/04/2014 - STATE GENERAL,P
3714626,11/04/2008,11/04/2008 - STATE GENERAL,P
3742522,11/06/2012,11/06/2012 - STATE GENERAL,P
3714626,11/06/2012,11/06/2012 - STATE GENERAL,P
3718832,11/02/2004,11/02/2004 - STATE GENERAL,A
3704153,11/02/2004,11/02/2004 - STATE GENERAL,P
3775628,11/05/2024,11/05/2024 - STATE GENERAL,P
3704153,09/12/2006,09/12/2006 - STATE PRIMARY,P
3797690,11/02/2004,11/02/2004 - STATE GENERAL,P
3718832,09/12/2006,09/12/2006 - STATE PRIMARY,P
3704153,11/07/2006,11/07/2006 - STATE GENERAL,P
3758882,11/02/2004,11/02/2004 - STATE GENERAL,P
3749004,11/02/2004,11/02/2004 - STATE GENERAL,P
3718832,11/07/2006,11/07/2006 - STATE GENERAL,P
3775368,11/04/2008,11/04/2008 - STATE GENERAL,P
3781947,11/02/2004,11/02/2004 - STATE GENERAL,P
3781947,11/06/2012,11/06/2012 - STATE GENERAL,P
3746618,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3749004,11/06/2012,11/06/2012 - STATE GENERAL,P
3723769,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
3745508,11/08/2016,11/08/2016 - STATE GENERAL,P
3745508,11/03/2020,11/03/2020 - STATE GENERAL,P
3797410,11/02/2004,11/02/2004 - STATE GENERAL,P
3745508,11/02/2004,11/02/2004 - STATE GENERAL,P
3721087,11/05/2024,11/05/2024 - STATE GENERAL,P
3718832,11/06/2012,11/06/2012 - STATE GENERAL,P
3775368,11/06/2018,11/06/2018 - STATE GENERAL,P
3781489,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,A
3723516,05/21/2013,05/21/2013 - SD SPEC ELECT ISD 97 - MOOSE LAKE,P
3723516,11/04/2014,11/04/2014 - STATE GENERAL,P
3723516,11/08/2016,11/08/2016 - STATE GENERAL,P
3749004,11/07/2006,11/07/2006 - STATE GENERAL,A
3725665,09/14/2004,09/14/2004 - STATE PRIMARY,P
3720892,11/02/2004,11/02/2004 - STATE GENERAL,P
3720892,09/12/2006,09/12/2006 - STATE PRIMARY,P
3720892,11/07/2006,11/07/2006 - STATE GENERAL,P
3720892,11/04/2008,11/04/2008 - STATE GENERAL,P
3720892,08/10/2010,08/10/2010 - STATE PRIMARY,M
3725665,11/02/2004,11/02/2004 - STATE GENERAL,P
3725665,11/04/2008,11/04/2008 - STATE GENERAL,P
3701743,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3748954,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3760578,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3725665,11/03/2020,11/03/2020 - STATE GENERAL,P
3725665,11/08/2022,11/08/2022 - STATE GENERAL,P
3707593,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3777549,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3759486,02/11/2025,02/11/2025 - SPEC PRI ITASCA CO COM 04,M
3758882,11/07/2006,11/07/2006 - STATE GENERAL,P
3742222,11/04/2008,11/04/2008 - STATE GENERAL,P
3742222,11/06/2012,11/06/2012 - STATE GENERAL,P
3742222,11/04/2014,11/04/2014 - STATE GENERAL,P
3729712,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3752848,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3742222,11/07/2006,11/07/2006 - STATE GENERAL,P
3742222,11/03/2020,11/03/2020 - STATE GENERAL,A
3742222,11/08/2022,11/08/2022 - STATE GENERAL,A
3777104,11/02/2004,11/02/2004 - STATE GENERAL,P
3739934,11/02/2004,11/02/2004 - STATE GENERAL,P
3773042,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3753053,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3781699,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3785107,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3720892,11/08/2016,11/08/2016 - STATE GENERAL,M
3723516,09/14/2004,09/14/2004 - STATE PRIMARY,P
3723516,11/02/2004,11/02/2004 - STATE GENERAL,P
3723516,02/21/2006,02/21/2006 - SD SPEC ELECT ISD 097 - MOOSE LAKE,P
3783313,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
3763086,02/13/2024,02/13/2024 - SD SPEC ELECT ISD 578 - PINE CITY,P
3742222,11/08/2016,11/08/2016 - STATE GENERAL,P
3708239,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3757608,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2144 - CHISAGO LAKES,P
3797690,11/04/2008,11/04/2008 - STATE GENERAL,P
3776130,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3753185,02/11/2025,02/11/2025 - SPEC PRI ITASCA CO COM 04,M
3720892,11/06/2012,11/06/2012 - STATE GENERAL,M
3720892,11/04/2014,11/04/2014 - STATE GENERAL,M
3797410,11/04/2008,11/04/2008 - STATE GENERAL,P
3777104,11/06/2012,11/06/2012 - STATE GENERAL,P
3795017,11/04/2008,11/04/2008 - STATE GENERAL,P
3797690,11/02/2010,11/02/2010 - STATE GENERAL,P
3797690,08/14/2012,08/14/2012 - STATE PRIMARY,P
3797690,11/06/2012,11/06/2012 - STATE GENERAL,P
3769936,11/02/2004,11/02/2004 - STATE GENERAL,P
3797690,09/10/2013,09/10/2013 - SPEC ELECT CITYWIDE DULUTH,P
3775116,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3755301,02/13/2024,02/13/2024 - SD SPEC ELECT ISD 578 - PINE CITY,P
3791653,02/13/2024,02/13/2024 - SD SPEC ELECT ISD 578 - PINE CITY,P
3725285,02/13/2024,02/13/2024 - SD SPEC ELECT ISD 578 - PINE CITY,P
3730761,11/05/2024,11/05/2024 - STATE GENERAL,P
3734956,11/05/2024,11/05/2024 - STATE GENERAL,P
3708721,11/06/2007,11/06/2007 - MUNICIPAL GENERAL,A
3792600,02/13/2024,02/13/2024 - SD SPEC ELECT ISD 578 - PINE CITY,P
3739608,02/13/2024,02/13/2024 - SD SPEC ELECT ISD 578 - PINE CITY,P
3761911,11/05/2024,11/05/2024 - STATE GENERAL,P
3793971,02/13/2024,02/13/2024 - SD SPEC ELECT ISD 578 - PINE CITY,P
3731147,02/11/2025,02/11/2025 - SPEC PRI ITASCA CO COM 04,P
3708304,02/11/2025,02/11/2025 - SPEC PRI ITASCA CO COM 04,M
3738381,11/04/2008,11/04/2008 - STATE GENERAL,P
3797690,11/06/2018,11/06/2018 - STATE GENERAL,P
3738381,11/02/2004,11/02/2004 - STATE GENERAL,P
3738381,11/02/2010,11/02/2010 - STATE GENERAL,P
3738381,11/06/2012,11/06/2012 - STATE GENERAL,P
3733388,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3791212,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3745437,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3758523,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,A
3745448,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3748549,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3758512,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,A
3760015,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3782191,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3790666,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3708473,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3755559,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3755586,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3766892,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3705785,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3707669,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3780736,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3745121,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3745865,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3759500,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3727960,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3796521,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,A
3713573,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3714354,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3718212,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3767985,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3777573,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3745560,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3777656,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,A
3790265,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3702343,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3724389,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3727782,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3738668,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3740004,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3771900,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3775037,11/07/2023,11/07/2023 - MUNICIPAL GENERAL,P
3779718,11/05/2024,11/05/2024 - STATE GENERAL,A
3708047,02/11/2025,02/11/2025 - SPEC PRI ITASCA CO COM 04,M
3757838,11/02/2004,11/02/2004 - STATE GENERAL,P
3725521,11/07/2006,11/07/2006 - STATE GENERAL,P
3708721,11/02/2004,11/02/2004 - STATE GENERAL,A
3708721,09/11/2007,09/11/2007 - MUNICIPAL PRIMARY,A
3797410,11/02/2010,11/02/2010 - STATE GENERAL,P
3777104,11/03/2020,11/03/2020 - STATE GENERAL,P
3723269,11/02/2004,11/02/2004 - STATE GENERAL,P
3722151,11/05/2024,11/05/2024 - STATE GENERAL,P
3726662,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3725521,11/04/2008,11/04/2008 - STATE GENERAL,P
3771453,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3747280,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3711343,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3721670,02/11/2025,02/11/2025 - SPEC PRI ITASCA CO COM 04,M
3722003,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3741771,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3704086,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3711824,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3730015,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3724976,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,A
3777330,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3722887,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3725541,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3722692,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3729054,02/11/2025,02/11/2025 - SPEC PRI ITASCA CO COM 04,M
3728016,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3705819,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3706683,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3771241,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3726119,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3720844,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3759542,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3728825,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3787481,11/02/2004,11/02/2004 - STATE GENERAL,P
3790650,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3779107,11/02/2004,11/02/2004 - STATE GENERAL,P
3755678,11/02/2004,11/02/2004 - STATE GENERAL,P
3755678,11/07/2006,11/07/2006 - STATE GENERAL,P
3755678,11/04/2008,11/04/2008 - STATE GENERAL,P
3779107,11/04/2008,11/04/2008 - STATE GENERAL,P
3785174,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 306 - LAPORTE,P
3755633,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 911 - CAMBRIDGE-ISANTI,P
3723769,03/12/2024,03/12/2024 - TOWNSHIP ELECTION,P
3715779,03/12/2024,03/12/2024 - TOWNSHIP ELECTION,P
3755040,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 15 - ST. FRANCIS AREA,P
3739108,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 306 - LAPORTE,P
3713452,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3711069,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 306 - LAPORTE,A
3736029,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 306 - LAPORTE,P
3794378,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 306 - LAPORTE,P
3753624,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3715642,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2687 - HOWARD LAKE-WAVERLY-WINSTED,P
3725521,11/02/2004,11/02/2004 - STATE GENERAL,P
3761419,03/12/2024,03/12/2024 - TOWNSHIP ELECTION,A
3736781,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3720862,02/11/2025,02/11/2025 - SPEC PRI ITASCA CO COM 04,P
3752632,02/11/2025,02/11/2025 - SPEC PRI ITASCA CO COM 04,P
3791956,04/09/2024,04/09/2024 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,M
3720930,11/02/2004,11/02/2004 - STATE GENERAL,A
3739110,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 306 - LAPORTE,P
3720930,11/07/2006,11/07/2006 - STATE GENERAL,A
3721941,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3775611,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3777274,03/12/2024,03/12/2024 - TOWNSHIP ELECTION,A
3749004,11/04/2014,11/04/2014 - STATE GENERAL,P
3791946,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3769561,11/05/2024,11/05/2024 - STATE GENERAL,P
3771467,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
3745666,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3720424,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3731778,11/02/2004,11/02/2004 - STATE GENERAL,P
3731778,11/04/2008,11/04/2008 - STATE GENERAL,P
3744604,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3768413,11/05/2024,11/05/2024 - STATE GENERAL,P
3770711,11/05/2024,11/05/2024 - STATE GENERAL,P
3736056,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3736057,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3722101,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3793178,11/02/2004,11/02/2004 - STATE GENERAL,P
3758328,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3729479,11/05/2024,11/05/2024 - STATE GENERAL,P
3738607,11/05/2024,11/05/2024 - STATE GENERAL,A
3723269,11/04/2008,11/04/2008 - STATE GENERAL,P
3757622,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3723269,11/02/2010,11/02/2010 - STATE GENERAL,P
3722058,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3721060,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
3775519,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3711147,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3736047,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3780635,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,P
3706297,11/07/2023,11/07/2023 - SPEC ELECT BELTRAMI CO ,A
