VoterId,ElectionDate,ElectionDescription,VotingMethod
4885122,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
4848636,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 820 - SEBEKA,P
4891126,11/06/2012,11/06/2012 - STATE GENERAL,P
4824282,11/06/2012,11/06/2012 - STATE GENERAL,P
4891126,11/08/2016,11/08/2016 - STATE GENERAL,P
4855690,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 486 - SWANVILLE,P
4870051,11/06/2012,11/06/2012 - STATE GENERAL,P
4894379,03/05/2024,03/05/2024 - PRESIDENTIAL PRIMARY,P
4850716,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 820 - SEBEKA,P
4870985,11/08/2016,11/08/2016 - STATE GENERAL,M
4845727,11/05/2024,11/05/2024 - STATE GENERAL,P
4830693,11/08/2016,11/08/2016 - STATE GENERAL,P
4872564,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 561 - GOODRIDGE,P
4870985,11/03/2015,11/03/2015 - SD SPEC ELECT ISD 2903 - ORTONVILLE,P
4870985,11/07/2017,11/07/2017 - SD SPEC ELECT ISD 2903 - ORTONVILLE,P
4827773,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
4870051,11/04/2014,11/04/2014 - STATE GENERAL,P
4843069,11/06/2012,11/06/2012 - STATE GENERAL,M
4843069,11/08/2016,11/08/2016 - STATE GENERAL,P
4890602,11/06/2012,11/06/2012 - STATE GENERAL,P
4894133,11/06/2012,11/06/2012 - STATE GENERAL,P
4872430,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 486 - SWANVILLE,P
4843045,11/06/2012,11/06/2012 - STATE GENERAL,P
4870051,11/08/2016,11/08/2016 - STATE GENERAL,P
4870051,08/14/2018,08/14/2018 - STATE PRIMARY,P
4883531,11/05/2024,11/05/2024 - STATE GENERAL,A
4870051,11/03/2020,11/03/2020 - STATE GENERAL,P
4870051,11/08/2022,11/08/2022 - STATE GENERAL,P
4880691,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 600 - FISHER,P
4881100,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
4819097,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 486 - SWANVILLE,P
4830693,11/06/2012,11/06/2012 - STATE GENERAL,P
4808648,11/06/2012,11/06/2012 - STATE GENERAL,A
4892932,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4845524,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4854848,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4892553,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4870985,11/06/2012,11/06/2012 - STATE GENERAL,P
4873094,03/14/2023,03/14/2023 - TOWNSHIP ELECTION,P
4846963,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4826491,11/05/2024,11/05/2024 - STATE GENERAL,P
4892802,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 2903 - ORTONVILLE,P
4803522,11/05/2024,11/05/2024 - STATE GENERAL,P
4899375,11/05/2024,11/05/2024 - STATE GENERAL,P
4827523,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
4871409,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
4808648,08/09/2016,08/09/2016 - STATE PRIMARY,P
4808648,11/08/2016,11/08/2016 - STATE GENERAL,A
4871403,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
4838823,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
4802811,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4838823,03/14/2023,03/14/2023 - TOWNSHIP ELECTION,P
4837805,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
4870003,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
4808648,02/13/2018,02/13/2018 - SPEC ELECT CHIPPEWA CO ,M
4855210,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4885770,03/11/2025,03/11/2025 - TOWNSHIP ELECTION,P
4808648,11/06/2018,11/06/2018 - STATE GENERAL,P
4826804,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4892935,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4892936,02/11/2025,02/11/2025 - SD SPEC ELECT ISD 414 - MINNEOTA,P
4878941,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,A
4873269,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
4888697,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
4888714,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
4869018,11/07/2023,11/07/2023 - SD SPEC ELECT ISD 2889 - LAKE PARK AUDUBON,P
